"type","name","res_id","src","value"
"field","product.item,code",0,"Code","Code"
"field","product.item,name",0,"Name","Nom"
"field","product.item,item_ids",0,"Item line","Lignes"
"field","product.item,sequence",0,"Sequence","Séquence"
"field","product.item,sale_taxes_id",0,"Customer taxes","Taxes à la vente"
"field","product.item,categ_id",0,"Category","Catégorie"
"field","product.item,number",0,"Product number","P/N"
"field","product.item,uom_id",0,"Unit","Unité"
"field","product.item,p_item_id",0,"Product Item","Élément (produit)"
"field","product.item,feature_ids",0,"Feature","Caractéristique"
"field","product.item,active",0,"Active","Actif"
"field","product.item,factory_price",0,"Factory price","Prix de revient"
"field","product.item,retail_price",0,"Retail price","Prix de vente"
"field","product.item,type",0,"Type","Type d'élément"
"field","product.item,capacity_start",0,"Capacity (To)","Capacité en (To)"
"field","product.item.feature,active",0,"Active","Actif"
"field","product.item.feature,code",0,"Code","Code"
"field","product.item.feature,name",0,"Name","Nom"
"model","product.item.feature,name","sale_simulator.feature_processor","Processor","Processeur"
"model","product.item.feature,name","sale_simulator.feature_memory","Memory","Memoire"
"model","product.item.feature,name","sale_simulator.feature_hdd","Hard disk","Disque Dur"
"model","product.item.feature,name","sale_simulator.feature_pci","PCI Connector","Connecteur PCI"
"field","product.item.feature.line,item_id",0,"Item","Élément"
"field","product.item.feature.line,feature_id",0,"Feature","Caractéristique"
"field","product.item.feature.line,global",0,"Global","Total"
"field","product.item.feature.line,quantity",0,"Quantity","Quantité"
"field","product.item.line,item_id",0,"Item","Élement"
"field","product.item.line,uom_id",0,"Unit","Unité"
"field","product.item.line,product_id",0,"Product","Produit"
"field","product.item.line,quantity",0,"Quantity","Quantité"
"selection","product.item,sequence",0,"First step","Niveau 1"
"selection","product.item,sequence",0,"Second step","Niveau 2"
"selection","product.item,type",0,"Product","Produit"
"selection","product.item,type",0,"Module","Module"
"view","product.item.feature",0,"Feature item","Caractéristiques"
"view","product.item",0,"Product Item","Élément (Produit)"
"view","product.item",0,"Item line","Ligne"
"view","product.item",0,"Customer taxes/Othe rinformation","Taxes client/Autres informations"
"view","product.item",0,"Module Item","Élément (Module)"
"view","product.item",0,"Product Item","Élément (Produit)"
"view","product.item",0,"Module Item","Élément (Module)"
"view","product.item",0,"Item line","Ligne"
"view","product.item",0,"Customer taxes/Other information","Taxes client/Autres informations"
"view","product.item.feature",0,"Feature item","Caractéristiques"
"model","ir.actions.act_window,name","sale_simulator.action_product_item_feature","Item Feature","Caratéristiques"
"model","ir.actions.act_window,name","sale_simulator.action_product_item","Product Item","Élement (Produit)"
"model","ir.actions.act_window,name","sale_simulator.action_module_item","Module Item","Élément (Module)"
"model","ir.actions.act_window,name","sale_simulator.action_sale_simulator_all","Sale simulator","Simulateur"
"model","ir.actions.act_window,name","sale_simulator.action_sale_simulator_my","Sale simulator",
"model","ir.actions.wizard,name","sale_simulator.sale_simulator_class","Create sale order","Créer un devis"
"model","ir.model,name",0,"Sale simulator","Simulateur"
"model","ir.model,name",0,"Sale simulator line","Configuration"
"model","ir.model,name",0,"Sale simulator line item","Produit de ligne de simulation"
"model","ir.ui.menu,name","sale_simulator.menu_product_item_feature","Feature Items","Caractéristiques"
"model","ir.ui.menu,name","sale_simulator.menu_simulator","Simulator","Simulateur"
"model","ir.ui.menu,name","sale_simulator.menu_product_item","Product Items","Élément (Produit)"
"model","ir.ui.menu,name","sale_simulator.menu_simulator_item","Module Items","Élément (Module)"
"model","ir.ui.menu,name",0,"Simulator","Simulateur"
"model","ir.ui.menu,name","sale_simulator.menu_sale_simulator_all","All Simulations","Toutes les simulations"
"model","ir.ui.menu,name","sale_simulator.menu_sale_simulator_my","My Simulations","Mes simulations"
"model","product.item.feature,name","sale_simulator.feature_processor","Processor","Processeur"
"model","product.item.feature,name","sale_simulator.feature_memory","Memory","Memoire"
"model","product.item.feature,name","sale_simulator.feature_hdd","Hard disk","Disque Dur"
"model","product.item.feature,name","sale_simulator.feature_pci","PCI Connector","Connecteur PCI"
"field","sale.simulator,user_id",0,"Salesman","Vendeur"
"field","sale.simulator,name",0,"Simulation number","Simulation N°"
"field","sale.simulator,shop_id",0,"Shop","Magasin"
"field","sale.simulator,line_ids",0,"Lines","Lignes"
"field","sale.simulator,pricelist_id",0,"Price List","Liste de prix"
"field","sale.simulator,partner_id",0,"Partner","Client"
"field","sale.simulator.line,description",0,"Description","Description"
"field","sale.simulator.line,order_id",0,"Sale order","Devis"
"field","sale.simulator.line,line_ids",0,"Item","Module"
"field","sale.simulator.line,discount",0,"Discount","Remise"
"field","sale.simulator.line,simul_id",0,"Sale simulator","Simulation de vente"
"field","sale.simulator.line,sale_price",0,"Sale price","Prix de vente"
"field","sale.simulator.line,item_id",0,"Product Item","Élément (Produit)"
"field","sale.simulator.line,factory_price",0,"Factory price","Prix de revient"
"field","sale.simulator.line,retail_price",0,"Retail price","Prix public"
"field","sale.simulator.line,margin",0,"Margin","Marge"
"field","sale.simulator.line,quantity",0,"Quantity","Quantité"
"field","sale.simulator.line.item,line_id",0,"Sale simulator line","Ligne de simulation"
